total_usage,pca_pred
77,29.723201288635114
3,29.723201288635114
30,38.694790200008796
4.5,18.68576999389499
5,17.772050166161062
11,38.694790200008796
2,17.772050166161062
101,17.772050166161062
9,38.694790200008796
6,38.694790200008796
105,17.772050166161062
61,17.772050166161062
10,17.772050166161062
69,38.694790200008796
51.5,17.772050166161062
10.5,17.772050166161062
12,17.772050166161062
13.5,17.772050166161062
18,17.772050166161062
41.5,17.772050166161062
16,38.694790200008796
9,38.694790200008796
5,17.772050166161062
6,38.694790200008796
47,38.694790200008796
65,19.7125
11,19.609523809523807
42,19.7125
4,38.694790200008796
2.5,17.772050166161062
14.5,10.418152046783629
2,10.418152046783629
18,15.146263736263734
24,9.34
16,15.146263736263734
35.5,10.418152046783629
7,15.146263736263734
4,7.333530129672016
0,4.109906759906771
0.5,4.109906759906771
17.5,4.109906759906771
3.5,4.109906759906771
3.5,4.109906759906771
5,7.333530129672016
12,5.9317982456140355
4,8.21615384615385
6,7.423978749847433
3,10.283439269376311
4,10.283439269376311
1,7.423978749847433
11,10.283439269376311
6,7.423978749847433
0,10.283439269376311
60,38.785000000000004
39.5,23.1925
29,10.283439269376311
2,10.488181818181818
1,10.488181818181818
0.5,1.2314033189033207
67,308.25954545454545
2,2.256130952380953
1,4.106746031746032
4,0.37109042101689627
2,4.106746031746032
0,0.37109042101689627
1,4.106746031746032
1,4.106746031746032
1,4.106746031746032
4,4.106746031746032
4.5,1.1835862563649076
1,4.599951573806678
3,4.599951573806678
2,4.599951573806678
3,1.1835862563649076
3.5,1.1835862563649076
2,4.599951573806678
1.5,1.1835862563649076
5,4.599951573806678
3,4.599951573806678
3,4.599951573806678
13,42.01721577220381
7.5,3.993571428571429
3.5,3.993571428571429
1,1.7145093167926078
0,1.7145093167926078
0,1.7145093167926078
0,1.7145093167926078
0,6.782053332308209
2,1.2204761904761914
0,4.531275748025583
1,1.6266851414287185
2,1.6266851414287185
2,1.6266851414287185
1,1.6266851414287185
0,1.6266851414287185
3.5,48.99594383031856
5,1.6266851414287185
2,1.6266851414287185
5,1.6266851414287185
2,7.198198720920663
3,7.198198720920663
3.5,5.6358463361911255
11,7.198198720920663
8.5,5.6358463361911255
7,7.198198720920663
5,7.198198720920663
19,7.198198720920663
15,5.6358463361911255
9,7.198198720920663
9,7.198198720920663
16,7.198198720920663
21,7.198198720920663
5,7.198198720920663
8,5.6358463361911255
3.5,2.9415521978021992
27,10.483333333333334
3.5,2.9922488622488657
23.5,5.6358463361911255
2,5.6358463361911255
17,5.6358463361911255
5,7.198198720920663
3,5.6358463361911255
1,2.9415521978021992
0.5,2.9415521978021992
9,3.5855463980464
7,3.5855463980464
3,3.5855463980464
2,2.9922488622488657
1.5,2.9922488622488657
4,3.633860028860031
