stop_id,stop_name,day,total_usage,num_routes,earliest,latest,num_arrivals,arrival_diff,stop_type
13720,SE Park Ave MAX Station,0,1069.0,2,240,1380,68,16.764705882352942,MAX Station
13720,SE Park Ave MAX Station,1,743.5,2,0,1380,63,21.904761904761905,MAX Station
13721,Milwaukie/Main St MAX Station,0,322.0,2,0,1380,68,20.294117647058822,MAX Station
13721,Milwaukie/Main St MAX Station,1,198.5,2,0,1380,63,21.904761904761905,MAX Station
13722,SE Tacoma/Johnson Creek MAX Station,0,310.0,2,0,1380,68,20.294117647058822,MAX Station
13722,SE Tacoma/Johnson Creek MAX Station,1,160.5,2,0,1380,63,21.904761904761905,MAX Station
13723,SE Bybee Blvd MAX Station,0,152.0,2,0,1380,68,20.294117647058822,MAX Station
13723,SE Bybee Blvd MAX Station,1,115.0,2,0,1380,63,21.904761904761905,MAX Station
13724,SE 17th Ave & Holgate Blvd MAX Station,0,171.0,2,0,1380,68,20.294117647058822,MAX Station
13724,SE 17th Ave & Holgate Blvd MAX Station,1,127.0,2,0,1380,63,21.904761904761905,MAX Station
13725,SE 17th Ave & Rhine St MAX Station,0,102.0,2,0,1380,68,20.294117647058822,MAX Station
13725,SE 17th Ave & Rhine St MAX Station,1,52.5,2,0,1380,63,21.904761904761905,MAX Station
13726,Clinton St/SE 12th Ave MAX Station,0,161.0,2,0,1380,68,20.294117647058822,MAX Station
13726,Clinton St/SE 12th Ave MAX Station,1,118.0,2,0,1380,63,21.904761904761905,MAX Station
13727,OMSI/SE Water MAX Station,0,115.0,2,0,1380,68,20.294117647058822,MAX Station
13727,OMSI/SE Water MAX Station,1,110.0,2,0,1380,63,21.904761904761905,MAX Station
13728,South Waterfront/S Moody MAX Station,0,237.0,2,0,1380,68,20.294117647058822,MAX Station
13728,South Waterfront/S Moody MAX Station,1,81.0,2,0,1380,63,21.904761904761905,MAX Station
13729,Lincoln St/SW 3rd Ave MAX Station,0,112.0,2,0,1380,68,20.294117647058822,MAX Station
13729,Lincoln St/SW 3rd Ave MAX Station,1,93.5,2,0,1380,63,21.904761904761905,MAX Station
13710,Lincoln St/SW 3rd Ave MAX Station,0,107.0,1,240,1380,68,16.764705882352942,MAX Station
13710,Lincoln St/SW 3rd Ave MAX Station,1,54.0,1,300,1380,63,17.142857142857142,MAX Station
13711,South Waterfront/S Moody MAX Station,0,215.0,1,240,1380,68,16.764705882352942,MAX Station
13711,South Waterfront/S Moody MAX Station,1,70.0,1,300,1380,63,17.142857142857142,MAX Station
13712,OMSI/SE Water MAX Station,0,98.0,1,240,1380,68,16.764705882352942,MAX Station
13712,OMSI/SE Water MAX Station,1,73.5,1,300,1380,63,17.142857142857142,MAX Station
13713,Clinton St/SE 12th Ave MAX Station,0,76.0,1,240,1380,68,16.764705882352942,MAX Station
13713,Clinton St/SE 12th Ave MAX Station,1,64.5,1,300,1380,63,17.142857142857142,MAX Station
13714,SE 17th Ave & Rhine St MAX Station,0,50.0,1,240,1380,68,16.764705882352942,MAX Station
13714,SE 17th Ave & Rhine St MAX Station,1,23.5,1,300,1380,63,17.142857142857142,MAX Station
13715,SE 17th Ave & Holgate Blvd MAX Station,0,84.0,1,240,1380,68,16.764705882352942,MAX Station
13715,SE 17th Ave & Holgate Blvd MAX Station,1,52.5,1,300,1380,63,17.142857142857142,MAX Station
13716,SE Bybee Blvd MAX Station,0,32.0,1,240,1380,68,16.764705882352942,MAX Station
13716,SE Bybee Blvd MAX Station,1,27.5,1,300,1380,63,17.142857142857142,MAX Station
13717,SE Tacoma/Johnson Creek MAX Station,0,43.0,1,240,1380,68,16.764705882352942,MAX Station
13717,SE Tacoma/Johnson Creek MAX Station,1,44.0,1,300,1380,63,17.142857142857142,MAX Station
13718,Milwaukie/Main St MAX Station,0,44.0,1,240,1380,68,16.764705882352942,MAX Station
13718,Milwaukie/Main St MAX Station,1,41.0,1,300,1380,63,17.142857142857142,MAX Station
10572,Parkrose/Sumner TC MAX Station,0,161.0,1,240,1380,68,16.764705882352942,MAX Station
10572,Parkrose/Sumner TC MAX Station,1,129.0,1,240,1380,63,18.095238095238095,MAX Station
10574,Cascades MAX Station,0,55.0,1,240,1380,68,16.764705882352942,MAX Station
10574,Cascades MAX Station,1,39.0,1,240,1380,63,18.095238095238095,MAX Station
10576,Mt Hood Ave MAX Station,0,49.0,1,240,1380,68,16.764705882352942,MAX Station
10576,Mt Hood Ave MAX Station,1,38.0,1,240,1380,63,18.095238095238095,MAX Station
10579,Portland Int'l Airport MAX Station,0,1758.0,1,0,1380,68,20.294117647058822,MAX Station
10579,Portland Int'l Airport MAX Station,1,1525.0,1,0,1380,63,21.904761904761905,MAX Station
10577,Mt Hood Ave MAX Station,0,179.0,1,0,1380,68,20.294117647058822,MAX Station
10577,Mt Hood Ave MAX Station,1,163.5,1,0,1380,63,21.904761904761905,MAX Station
10575,Cascades MAX Station,0,356.0,1,0,1380,68,20.294117647058822,MAX Station
10575,Cascades MAX Station,1,336.5,1,0,1380,63,21.904761904761905,MAX Station
10573,Parkrose/Sumner TC MAX Station,0,442.0,1,0,1380,68,20.294117647058822,MAX Station
10573,Parkrose/Sumner TC MAX Station,1,323.0,1,0,1380,63,21.904761904761905,MAX Station
14250,Gateway North MAX Station,0,109.0,1,0,1380,68,20.294117647058822,MAX Station
14250,Gateway North MAX Station,1,94.0,1,0,1380,63,21.904761904761905,MAX Station
