,stop_id,stop_name,day,total_usage,num_routes,earliest,latest,num_arrivals,arrival_diff,stop_type,lat,long
69,7668,SW 51st & Moss,0,1.0,2,420,960,4,135.0,Bus Station,45.4761281,-122.7116257
70,7667,SW 51st & Custer,0,2.0,2,420,960,4,135.0,Bus Station,45.4760935,-122.7077474
71,7698,SW 52nd & Maplewood School,0,1.0,2,420,960,4,135.0,Bus Station,45.4761319,-122.7044929
72,7700,SW 52nd & Nevada Ct,0,0.0,2,420,960,4,135.0,Bus Station,45.4761319,-122.7044929
73,4104,SW Nevada Ct & 54th,0,2.0,1,420,420,2,0.0,Bus Station,45.4760646,-122.7038995
74,7728,SW 55th & Texas,0,4.0,1,420,420,2,0.0,Bus Station,45.4760646,-122.7038995
75,7729,SW 55th & Vermont,0,1.0,1,420,420,2,0.0,Bus Station,45.4760406,-122.6965863
76,6045,SW Vermont & 45th,0,8.0,1,420,480,2,30.0,Bus Station,45.476036,-122.6936065
77,11789,SW Vermont & Idaho Dr,0,2.0,1,420,480,2,30.0,Bus Station,45.4759268,-122.6884828
78,6042,SW Vermont & 37th,0,2.0,1,420,480,2,30.0,Bus Station,45.4708298,-122.6883564
79,13769,SW Vermont & 34th,0,9.0,2,360,1140,15,52.0,Bus Station,45.4708298,-122.6883564
80,6036,SW Vermont & 30th,0,3.0,2,360,1140,15,52.0,Bus Station,45.47107205,-122.6855981
81,6023,SW Capitol & Vermont,0,11.0,3,300,1260,41,23.414634146341463,Bus Station,45.47107205,-122.6855981
82,6023,SW Capitol & Vermont,1,8.0,1,360,1260,23,39.130434782608695,Bus Station,45.4716263,-122.6804571
83,965,SW Capitol & 26th,0,41.0,3,300,1260,41,23.414634146341463,Bus Station,45.4716263,-122.6804571
84,965,SW Capitol & 26th,1,15.0,1,360,1260,23,39.130434782608695,Bus Station,45.4769647,-122.67970825
85,6031,SW Vermont & Capitol Hwy,0,0.0,1,480,480,2,0.0,Bus Station,45.4769647,-122.67970825
86,6022,SW Vermont & Bertha,0,1.0,1,480,480,2,0.0,Bus Station,45.4910701,-122.6780281
87,6033,SW Vermont & 13th,0,0.0,1,480,480,2,0.0,Bus Station,45.4910701,-122.6780281
88,6025,SW Vermont & Chestnut,0,0.0,1,480,480,2,0.0,Bus Station,45.4958843,-122.6781541
89,1053,SW Chestnut & 12th,0,0.0,1,480,480,2,0.0,Bus Station,45.4958843,-122.6781541
