usage,pred
302,289.51061036883794
1312,630.5260606559497
970,496.30364796628896
662,675.7395771027357
450,549.4716902508748
460,675.7395771027357
337,549.4716902508748
573,675.7395771027357
489,549.4716902508748
714,675.7395771027357
541,549.4716902508748
377,675.7395771027357
273,549.4716902508748
621,675.7395771027357
623,549.4716902508748
883,675.7395771027357
825,549.4716902508748
264,498.59936926694246
216,395.67932870037157
250,498.59936926694246
398,395.67932870037157
247,498.59936926694246
189,395.67932870037157
494,525.0936637146273
274,416.7047155893737
2028,525.0936637146273
1418,416.7047155893737
857,525.0936637146273
719,416.7047155893737
773,525.0936637146273
707,416.7047155893737
504,525.0936637146273
295,416.7047155893737
178,525.0936637146273
238,416.7047155893737
351,525.0936637146273
209,416.7047155893737
781,525.0936637146273
501,416.7047155893737
369,525.0936637146273
275,416.7047155893737
215,525.0936637146273
116,416.7047155893737
82,525.0936637146273
52,416.7047155893737
132,525.0936637146273
66,416.7047155893737
246,561.2746681138783
162,453.0879682609554
309,522.1625387941001
199,426.6971776062172
195,522.1625387941001
147,426.6971776062172
214,522.1625387941001
160,426.6971776062172
87,522.1625387941001
57,426.6971776062172
660,293.3826643473005
554,225.7446960272345
74,293.3826643473005
51,225.7446960272345
43,293.3826643473005
23,225.7446960272345
36,293.3826643473005
26,225.7446960272345
496,509.1754470603935
378,405.30155046426967
799,572.4476680455026
316,457.1902783594953
503,572.4476680455026
236,457.1902783594953
984,572.4476680455026
761,457.1902783594953
494,683.0674373282901
351,520.6468894395078
427,683.0674373282901
318,520.6468894395078
758,538.7011812336638
649,429.2928768287419
247,263.78464391534044
182,177.21766306917075
195,263.78464391534044
169,177.21766306917075
132,263.78464391534044
110,177.21766306917075
79,263.78464391534044
62,177.21766306917075
168,263.78464391534044
125,177.21766306917075
83,263.78464391534044
65,177.21766306917075
46,263.78464391534044
42,177.21766306917075
2069,277.80148480494256
1392,186.63455614223727
251,277.80148480494256
210,186.63455614223727
244,277.80148480494256
149,186.63455614223727
366,277.80148480494256
239,186.63455614223727
200,277.80148480494256
123,186.63455614223727
186,277.80148480494256
131,186.63455614223727
270,277.80148480494256
189,186.63455614223727
214,277.80148480494256
137,186.63455614223727
483,605.5214286068302
395,459.6919154502564
318,722.3119530197569
242,491.85359811773714
360,722.3119530197569
280,491.85359811773714
971,605.5214286068302
637,459.6919154502564
309,605.5214286068302
156,459.6919154502564
292,572.4476680455026
127,434.12213891978905
283,257.83377692158257
175,206.3382933249883
1069,272.58525452419383
743,208.76339447461032
322,268.40609686101493
198,208.76339447461032
310,268.40609686101493
160,208.76339447461032
152,268.40609686101493
115,208.76339447461032
171,268.40609686101493
127,208.76339447461032
102,268.40609686101493
52,208.76339447461032
161,268.40609686101493
118,208.76339447461032
115,268.40609686101493
110,208.76339447461032
237,268.40609686101493
81,208.76339447461032
112,268.40609686101493
93,208.76339447461032
107,258.83160542400964
54,206.3382933249883
215,258.83160542400964
70,206.3382933249883
98,258.83160542400964
73,206.3382933249883
76,258.83160542400964
64,206.3382933249883
50,258.83160542400964
23,206.3382933249883
84,258.83160542400964
52,206.3382933249883
32,258.83160542400964
27,206.3382933249883
43,258.83160542400964
44,206.3382933249883
44,258.83160542400964
41,206.3382933249883
161,258.83160542400964
129,204.69051874678945
55,258.83160542400964
39,204.69051874678945
49,258.83160542400964
38,204.69051874678945
1758,254.86331268136374
1525,198.2299616314472
179,254.86331268136374
163,198.2299616314472
356,254.86331268136374
336,198.2299616314472
442,254.86331268136374
323,198.2299616314472
109,254.86331268136374
94,198.2299616314472
856,276.77549275724635
692,211.56595314050668
112,276.77549275724635
94,211.56595314050668
107,276.77549275724635
71,211.56595314050668
173,276.77549275724635
140,211.56595314050668
253,276.77549275724635
203,206.31841452208002
139,276.77549275724635
103,206.31841452208002
241,276.77549275724635
217,206.31841452208002
99,276.77549275724635
73,206.31841452208002
55,276.77549275724635
67,206.31841452208002
681,306.9712753102462
617,217.28164705156388
631,306.9712753102462
569,217.28164705156388
366,306.9712753102462
271,217.28164705156388
800,306.9712753102462
579,217.28164705156388
308,306.9712753102462
231,217.28164705156388
459,306.9712753102462
333,217.28164705156388
265,306.9712753102462
211,217.28164705156388
206,306.9712753102462
127,217.28164705156388
138,306.9712753102462
106,217.28164705156388
223,306.9712753102462
212,217.28164705156388
296,358.8746260373829
220,286.7699673933213
142,358.8746260373829
91,286.7699673933213
239,394.33207929846776
135,245.63076164596936
45,217.0586623753969
33,145.99899481318508
60,238.72568555137482
38,163.05785986767924
14,81.88704238408245
11,70.07824722919335
13,52.08345129886944
7,44.572582797071576
6,81.88704238408245
3,70.07824722919335
88,115.05264313059094
107,44.17896298394117
70,33.669682484757764
34,38.130868060478534
23,29.091968177349113
1,12.3791014149492
100,19.06086225322764
38,6.258006817990538
101,216.43708993989944
53,104.05203029920462
54,150.22348938573154
37,81.5343567066014
561,685.8667492612361
314,431.90436629973175
373,355.59889358062594
241,233.2005765045684
2,10.179310371578387
3,8.711368832889072
