usage,pred
158,39.364210690470514
89,30.91352751623838
87,39.364210690470514
38,30.91352751623838
134,39.364210690470514
89,30.91352751623838
95,39.364210690470514
73,30.91352751623838
84,39.364210690470514
56,30.91352751623838
84,39.364210690470514
51,30.91352751623838
113,54.29233606781118
75,41.006008334451565
76,54.29233606781118
49,41.006008334451565
60,160.73262889033657
53,129.79976723248237
160,193.28010528964032
67,156.08350868436085
47,232.41826727205608
40,187.6895637230723
42,192.87836239476357
30,155.6772698959545
82,159.71697922550322
44,131.72901137952772
23,47.3352476060643
17,37.17334740595392
127,29.139586436093502
70,20.681984997697697
203,154.59413236359313
109,126.76360339677383
219,270.58804270991277
168,184.64862845463173
396,362.5992180248456
277,292.9658146774308
240,286.14991080618
163,190.47923738732229
150,499.6685291702993
116,277.0156215759164
530,69.52382099609878
352,53.249545587383025
27,46.570419809007376
24,35.014377620740994
30,46.570419809007376
23,35.014377620740994
27,46.570419809007376
20,35.014377620740994
60,46.570419809007376
36,35.014377620740994
37,66.98141146805933
15,52.32806539244408
41,66.98141146805933
27,52.32806539244408
72,66.98141146805933
44,52.32806539244408
40,29.139586436093502
33,20.681984997697697
10,29.139586436093502
3,20.681984997697697
15,29.139586436093502
10,20.681984997697697
7,29.139586436093502
7,20.681984997697697
28,29.139586436093502
25,20.681984997697697
20,29.139586436093502
12,20.681984997697697
13,29.139586436093502
11,20.681984997697697
25,29.139586436093502
14,20.681984997697697
22,29.139586436093502
11,20.681984997697697
157,29.139586436093502
76,20.681984997697697
22,29.139586436093502
12,20.681984997697697
24,29.139586436093502
17,20.681984997697697
5,29.139586436093502
3,20.681984997697697
5,29.139586436093502
2,20.681984997697697
2,29.139586436093502
1,20.681984997697697
7,29.139586436093502
4,20.681984997697697
25,72.34363584818628
16,55.868746083169754
516,59.93603523673463
379,46.23102306159005
59,59.93603523673463
52,46.23102306159005
2,29.139586436093502
2,20.681984997697697
55,29.139586436093502
39,20.681984997697697
10,29.139586436093502
5,20.681984997697697
7,29.139586436093502
7,20.681984997697697
4,29.139586436093502
2,20.681984997697697
11,51.532100104188295
8,40.408210419432734
12,51.532100104188295
5,40.408210419432734
